metric,value
trimRegisteredShell,1
trimShell,1
trimHoleShell,1
elemTotal,100
elemIn,46
elemCut,54
elemOut,0
standardQuadraturePoints,736
subCellCandidatePoints,0
subCellAcceptedPoints,0
triangleIntegrationPoints,3899
candidateQuadraturePoints,4635
activeQuadraturePoints,4635
activeCandidateQuadratureRatio,1
stiffnessIntegratedParametricArea,0.934093
stiffnessIntegratedPhysicalArea,1.70583e+06
activeParametricAreaReference,0.934768
activeAreaConsistencyError,0.000722163
policySubcell,0
policyTriangle,54
policyFallback,0
severitySmallArea,1
severityHoleThrough,22
severitySliver,0
areaFractionSamples,54
minAreaFraction,0.2125
maxAreaFraction,1
meanAreaFraction,0.8792
areaFractionBin0,0
areaFractionBin1,0
areaFractionBin2,0
areaFractionBin3,1
areaFractionBin4,4
areaFractionBin5,49
policyReason.none,0
policyReason.mild-cut,0
policyReason.small-retained-region,0
policyReason.tiny-support,0
policyReason.sliver-risk,0
policyReason.hole-through-cell,0
policyReason.complex-boundary,0
policyReason.zero-visible,0
policyReason.cost-preferred-triangle,0
policyReason.area-guard-fallback,0
policyReason.forced-triangle,54
policyReason.forced-subcell,0
policyReason.fallback,0
pressurePointsTested,0
pressurePointsRejectedByTrim,0
pressureRejectionRatio,0
pressureIntegratedPhysicalArea,0
pressureAppliedResultant,0
pressureResultantReference,0
pressureResultantRelativeError,0
lineLoadPointsTested,0
lineLoadPointsRejectedByTrim,0
lineLoadRejectionRatio,0
lineLoadIntegratedLength,4001.04
lineLoadAppliedResultant,400104
lineLoadResultantReference,400104
lineLoadResultantError,0
lineLoadResultantRelativeError,0
couplingPointsTested,0
couplingPointsAcceptedBothDomains,0
couplingPointsRejectedByMasterTrim,0
couplingPointsRejectedBySlaveTrim,0
couplingAcceptanceRatio,0
couplingMasterRejectionRatio,0
couplingSlaveRejectionRatio,0
trimClassifyMs,0.2
trimClipTriMs,156.023
trimTotalMs,20653
